Time,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR
95,8.29627E-05,0.000248888,-8.29627E-05,-0.000248888,8.29627E-05,0.000248888,-0.000248888,-8.29627E-05,-0.000414814,0.034512495,0.025220669,0.024474005,0.039324333,0.03376583,0.030032508,0.050441339,0.018666614,0.046708016,0.000331851,-0.000746665,-0.000248888,-0.000580739,-0.000663702,-0.000248888,0.000331851,0.000414814,8.29627E-05,0.0091259,0.01003849,0.008877012,0.010204416,0.010204416,0.010785155,0.011697745,0.012610335,0.011780707
100,0.000580739,0.000580739,0.000248888,-0.000995553,-8.29627E-05,-0.000165925,0,0.000331851,-8.29627E-05,0.03741619,0.028207328,0.028456216,0.042228029,0.036752488,0.031691762,0.056912431,0.019994017,0.05019245,0.000331851,-0.000165925,0.000497776,-0.000248888,-0.000497776,-0.000497776,0.000746665,0.000995553,0.000497776,0.009872565,0.011531819,0.010702192,0.010370341,0.009706639,0.01095108,0.012278484,0.013191074,0.01277626
105,0.000497776,-8.29627E-05,-8.29627E-05,-0.001244441,0,-0.000497776,8.29627E-05,8.29627E-05,-0.000165925,0.039158408,0.030447321,0.029783619,0.044799873,0.04015396,0.034595458,0.060728717,0.020574757,0.054921326,0.000165925,-0.000663702,-0.000746665,-0.000331851,-0.000829627,-0.000248888,0.000414814,0.000497776,0.000331851,0.009042937,0.01095108,0.009457751,0.010453304,0.010536266,0.011365894,0.01277626,0.013937738,0.012693297
110,0,0.000165925,0.000331851,-0.000580739,-8.29627E-05,-0.000165925,0.000331851,0.000248888,-0.000248888,0.041896178,0.03285324,0.032936203,0.047786531,0.044882836,0.037913967,0.065042779,0.022234011,0.059484276,0,-0.000663702,-0.000497776,-0.000497776,-0.000580739,-0.000331851,-0.000165925,0.000414814,0,0.008877012,0.01095108,0.009706639,0.010702192,0.011282931,0.011448856,0.012693297,0.013854776,0.012112558
115,0.000165925,0.000331851,0.000165925,0.000248888,0.000165925,0.000497776,0.000497776,0.000497776,-0.000248888,0.043638395,0.036005824,0.035922861,0.051934668,0.047620606,0.041232476,0.070435356,0.02281475,0.063134636,0,-0.000580739,-0.000414814,-0.000331851,8.29627E-05,0,0.000248888,0.000746665,0.000497776,0.010121453,0.01095108,0.009872565,0.011199968,0.011365894,0.011780707,0.013191074,0.014352552,0.013439962
120,-0.000414814,-0.000248888,8.29627E-05,0.000746665,0.000331851,0.000663702,-8.29627E-05,8.29627E-05,-0.000746665,0.045795426,0.037831004,0.038411743,0.055419102,0.052515407,0.04471691,0.074251642,0.023229564,0.066536108,-0.000414814,-0.001410366,-0.000663702,0.000829627,8.29627E-05,0.000331851,-0.000248888,-8.29627E-05,0,0.009457751,0.011117006,0.009457751,0.010868117,0.011614782,0.012693297,0.01277626,0.013937738,0.012278484
125,-8.29627E-05,0,0,-0.000331851,-0.000331851,0,0.000663702,0.000663702,0.000414814,0.050026525,0.039739147,0.038826557,0.05716132,0.05624873,0.047869494,0.078067927,0.025303632,0.071182021,0.000331851,-0.001493329,-0.000580739,-0.000580739,-0.000663702,-0.000497776,0.000331851,0.000580739,0.000331851,0.009042937,0.011034043,0.010204416,0.011365894,0.010702192,0.012195521,0.013605887,0.014684403,0.013108111
130,0,0.000331851,0,0.000414814,-0.000248888,0.000414814,0.000248888,0.000331851,0.000414814,0.052183556,0.042228029,0.040734699,0.061309456,0.0589865,0.051602817,0.082879765,0.025718446,0.073919791,-0.000165925,-0.001161478,-0.000580739,-8.29627E-05,-0.000331851,-8.29627E-05,0.000414814,0.000580739,0.000248888,0.009706639,0.011614782,0.010287378,0.011448856,0.011614782,0.012859223,0.013605887,0.01460144,0.013274036
135,0.000995553,0.000995553,0.000663702,-0.000497776,0.000248888,-8.29627E-05,0,-8.29627E-05,-0.000414814,0.056995394,0.04471691,0.045131724,0.064627965,0.06081168,0.054091699,0.08545161,0.026962887,0.076823486,0.000746665,0.000165925,0.000580739,-0.000414814,-0.000580739,-0.000414814,-0.000331851,-0.000165925,-0.000331851,0.01095108,0.012693297,0.011531819,0.011034043,0.01186367,0.012278484,0.013025148,0.015348105,0.013191074
140,0.00091259,8.29627E-05,0.000331851,0,0.000165925,0.000746665,0,0.000580739,-0.000414814,0.059733164,0.048035419,0.045878389,0.067282772,0.067116847,0.057410208,0.09092715,0.027626588,0.080971622,0.000580739,-0.000497776,0.000165925,-0.000497776,0,0.000331851,-0.000829627,-8.29627E-05,-0.000165925,0.010121453,0.012195521,0.010287378,0.011365894,0.011531819,0.013025148,0.013356999,0.015016254,0.013025148
145,0.000248888,0.000331851,0.000248888,-8.29627E-05,8.29627E-05,0.000414814,0,0.000165925,8.29627E-05,0.061226493,0.049445786,0.047786531,0.070601281,0.06902499,0.060396866,0.093996771,0.028456216,0.083294579,0.000248888,-0.000995553,-8.29627E-05,-0.000497776,-0.000414814,-8.29627E-05,8.29627E-05,0.000331851,0.00091259,0.009955527,0.012361446,0.01095108,0.012361446,0.011946633,0.012610335,0.013937738,0.015679956,0.013439962
150,-8.29627E-05,0.000248888,-0.000331851,8.29627E-05,0.000165925,0.000248888,-8.29627E-05,0.000414814,-0.000414814,0.063715375,0.050856152,0.050026525,0.075330157,0.07358794,0.064710928,0.097398243,0.029783619,0.086281237,-0.000165925,-0.000746665,-0.000414814,-0.000331851,-0.000165925,-0.000248888,-0.000497776,-0.000331851,-0.000248888,0.009374788,0.011448856,0.010204416,0.011780707,0.01186367,0.012942186,0.013605887,0.014518477,0.013356999
155,0.00091259,0.000746665,0.000580739,-0.000165925,0.000248888,0.000165925,0.000165925,0,-8.29627E-05,0.067531661,0.052847258,0.05259837,0.076657561,0.075662008,0.068444251,0.098476758,0.030447321,0.09001456,0.000580739,-0.000165925,0.000248888,-0.000497776,-0.000746665,0,-0.000414814,-8.29627E-05,0,0.010619229,0.012693297,0.010785155,0.011780707,0.012527372,0.013025148,0.013356999,0.014684403,0.013356999
160,0.000248888,-0.000248888,8.29627E-05,-0.000248888,0.000497776,0.000663702,-0.000165925,0.000331851,-8.29627E-05,0.067863511,0.054672438,0.054257624,0.080307921,0.079478293,0.07085017,0.102541932,0.031442874,0.092586404,0,-0.000663702,-0.000497776,8.29627E-05,-0.000497776,-8.29627E-05,-0.000580739,0.000331851,-8.29627E-05,0.009955527,0.012278484,0.010536266,0.012112558,0.011946633,0.013191074,0.013439962,0.015099216,0.01368885
165,-0.000165925,-0.000331851,-0.000580739,-0.000248888,8.29627E-05,0.000331851,0.000580739,0.000580739,0.000414814,0.069356841,0.055750953,0.056082804,0.083543467,0.081303473,0.072592387,0.104118224,0.032687315,0.095075286,-0.000414814,-0.001327404,-0.000248888,-0.000414814,-0.000165925,8.29627E-05,0.000331851,0.000414814,0.000248888,0.009540714,0.011614782,0.010204416,0.011448856,0.011780707,0.013108111,0.014103664,0.016260695,0.01368885
170,0.00091259,0.000497776,0.000497776,0.000248888,0.00091259,0.000331851,8.29627E-05,0.000829627,0.000165925,0.07358794,0.05749317,0.058737611,0.085866423,0.084373094,0.074998306,0.10826636,0.03376583,0.098725646,0.000663702,-0.000248888,0.000414814,-0.000165925,-0.000165925,-0.000580739,-8.29627E-05,0.000248888,0.000497776,0.010287378,0.012693297,0.011034043,0.012112558,0.01277626,0.013771813,0.013439962,0.015431067,0.013771813
