,Condition,AMW019,JBL002,AMW4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR OFF,0.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 12nM,0.5,20.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 16nM,0.5,16.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAR 20nM,0.5,8.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR OFF,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 4nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 8nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM,STAR 16nM
155,0.000580739,0.000663702,0.000746665,0.000414814,0.000497776,-0.000580739,-8.29627E-05,-8.29627E-05,-8.29627E-05,0.020823645,0.025220669,0.022731787,0.023976228,0.021238458,0.024308079,0.032106576,0.030364358,0.022731787,0.045463575,0.044053209,0.056414655,0.056746506,0.051602817,0.054008736,0.047039867,0.071845722,0.062056121,0.060562791,0.065042779,0.059401313,0.065208704,0.056165767,0.0681124,0.065291667,0.068776101,0.07906348
160,-0.000248888,0.000331851,0.000248888,0.000248888,0.000497776,-0.000746665,0.000331851,0.000165925,0,0.021736235,0.025967334,0.023063638,0.025801408,0.022316974,0.025220669,0.033268054,0.031442874,0.024142154,0.048118382,0.044965799,0.058571686,0.0589865,0.054091699,0.056829469,0.050856152,0.074666455,0.06537463,0.061807232,0.067946474,0.060396866,0.068029437,0.059152425,0.073173126,0.067448698,0.074168679,0.083045691
165,0.000497776,0.000248888,-0.000248888,0.001161478,0.000746665,-8.29627E-05,-0.000331851,-8.29627E-05,-0.000248888,0.022399937,0.027211775,0.024225117,0.027460663,0.023063638,0.026879924,0.034512495,0.033019166,0.024971781,0.048699121,0.046956904,0.061143531,0.061226493,0.057078357,0.058820574,0.05201763,0.077072374,0.068693139,0.06446204,0.07176276,0.062885748,0.070269431,0.061641307,0.075910896,0.071099058,0.077653113,0.086198274
170,0.000580739,0.000746665,8.29627E-05,0.000414814,0.000414814,-0.000497776,-0.000663702,-0.000746665,-0.000663702,0.024225117,0.028373253,0.025137707,0.027792514,0.02372734,0.026879924,0.035922861,0.033185091,0.026382147,0.051519854,0.049694674,0.065291667,0.063134636,0.059235388,0.061475381,0.053925773,0.079810144,0.070601281,0.067116847,0.073090163,0.066038331,0.071182021,0.063383524,0.077653113,0.072343499,0.082630877,0.08727679
175,0.000248888,0.000331851,0.000331851,0.000497776,0.000746665,-8.29627E-05,0,-0.000331851,-0.000331851,0.024805856,0.028788067,0.026382147,0.028539178,0.025137707,0.028539178,0.037001377,0.035425085,0.026962887,0.052432444,0.050690227,0.065623518,0.065955369,0.061890195,0.063466487,0.05624873,0.082216063,0.073256089,0.069439803,0.075993859,0.067448698,0.072924238,0.065623518,0.08271384,0.075081269,0.085119759,0.091093075
180,0,0.000331851,0.000165925,0.000414814,0.000663702,-0.00091259,-8.29627E-05,-0.000248888,0.000331851,0.02555252,0.029783619,0.027211775,0.029700657,0.025469557,0.029783619,0.038826557,0.036835451,0.027709551,0.055004289,0.05168578,0.067946474,0.067946474,0.064379077,0.064959816,0.059401313,0.084787908,0.075496082,0.071099058,0.079146442,0.070269431,0.075330157,0.067365735,0.083377542,0.0772383,0.089019007,0.093084181
185,0.000580739,0.000663702,0.000497776,0.000829627,0.000580739,-0.000165925,0.000331851,0.000165925,0.000497776,0.027460663,0.030945098,0.028124365,0.031111023,0.027045849,0.030779172,0.041481364,0.038577669,0.030364358,0.057244282,0.053096146,0.069771654,0.070435356,0.067448698,0.068444251,0.06081168,0.086861976,0.079561256,0.073670902,0.081718287,0.070767207,0.076242747,0.069273878,0.086447163,0.079312368,0.090263448,0.096319727
190,0.000331851,0.000663702,8.29627E-05,0.001161478,0.000497776,-0.000497776,8.29627E-05,-0.000248888,0,0.027543626,0.032355464,0.028788067,0.033185091,0.027958439,0.032106576,0.041149513,0.038826557,0.030779172,0.058903537,0.055502065,0.072426462,0.073919791,0.06993758,0.070601281,0.062802785,0.087442715,0.081054585,0.075247194,0.084041243,0.073339052,0.077570151,0.071264983,0.088770119,0.082630877,0.090844187,0.097647131
195,0.000746665,0.000414814,0.000248888,0.000248888,0.000746665,-0.000414814,0.000580739,0.000248888,0.000580739,0.029451768,0.033102128,0.030032508,0.033516942,0.02829029,0.033185091,0.042974693,0.04106655,0.033019166,0.061890195,0.056995394,0.074666455,0.074832381,0.072011648,0.071430909,0.064793891,0.088438268,0.083709393,0.078233852,0.085534573,0.074168679,0.077487188,0.072841275,0.090346411,0.084787908,0.093913808,0.102044155
200,0.000331851,0.000746665,0.000414814,0.000414814,8.29627E-05,-0.000829627,0.000746665,0.000414814,0.000414814,0.029783619,0.03559101,0.030198433,0.033516942,0.030032508,0.034512495,0.04471691,0.043057656,0.034097681,0.06263686,0.058654649,0.076740523,0.07632571,0.073422014,0.074417567,0.066536108,0.091259001,0.087027902,0.081137548,0.08818938,0.075496082,0.081054585,0.074334604,0.092420479,0.086032349,0.096070839,0.105113776
205,0.000746665,0.000829627,0.000663702,0.001161478,0.001244441,-8.29627E-05,0.000414814,8.29627E-05,0.000663702,0.030613247,0.036586563,0.032521389,0.03559101,0.03102806,0.036005824,0.046459128,0.04380432,0.034263607,0.065623518,0.062139083,0.079395331,0.080307921,0.07815089,0.077902002,0.0681124,0.092005665,0.087940492,0.082464952,0.088687156,0.076408672,0.08362643,0.077653113,0.094660473,0.087940492,0.09822787,0.107519695
210,0.000746665,0.000663702,0.000165925,0.000995553,0.000580739,-0.000414814,0.000331851,-8.29627E-05,0.000248888,0.030945098,0.037001377,0.032936203,0.036088787,0.032936203,0.036337675,0.047952457,0.043389507,0.03559101,0.06719981,0.063134636,0.079395331,0.081137548,0.079561256,0.07815089,0.070352393,0.09457751,0.091176038,0.08362643,0.09092715,0.078565703,0.085368647,0.080059032,0.094411584,0.09092715,0.099804162,0.10826636
215,0.000414814,0.000829627,0,0.000497776,0.000497776,-0.000414814,0.000165925,-0.000165925,0.000331851,0.031774725,0.038079892,0.033185091,0.038577669,0.033185091,0.036586563,0.048450233,0.044965799,0.035425085,0.068029437,0.064213151,0.081884213,0.083211616,0.083377542,0.081552362,0.072094611,0.098393795,0.093001218,0.085617535,0.094079734,0.079478293,0.087691603,0.081054585,0.097896019,0.091673814,0.101048603,0.110755242
220,0.000663702,0.000331851,0.000165925,0.000746665,0.000331851,-0.000414814,0.000165925,-0.000248888,-0.000165925,0.03285324,0.038826557,0.034595458,0.038909519,0.036254712,0.038162855,0.050524301,0.046790979,0.035673973,0.071182021,0.067448698,0.084207169,0.084621983,0.084621983,0.083460504,0.073090163,0.100301938,0.095656025,0.087525678,0.093747883,0.080639772,0.089350858,0.082464952,0.100218975,0.094743435,0.10187823,0.113907825
225,0.00091259,0.001078515,0.000165925,0.000497776,-8.29627E-05,-0.000497776,8.29627E-05,-0.000165925,0.000414814,0.033433979,0.041149513,0.035176197,0.040070998,0.036420638,0.037996929,0.050441339,0.047869494,0.037499153,0.07358794,0.068278325,0.084953833,0.087608641,0.08545161,0.084704945,0.07632571,0.105113776,0.09731528,0.089848634,0.096568615,0.083377542,0.090512336,0.084041243,0.10096564,0.096983429,0.104201186,0.115069304
230,0.000580739,0.00091259,0.000248888,0.001493329,0.000829627,-8.29627E-05,0.000829627,0,0.00091259,0.035093234,0.041481364,0.036586563,0.04197914,0.038992482,0.040485811,0.052847258,0.04927986,0.039905072,0.074251642,0.069356841,0.088521231,0.089019007,0.089516783,0.088936044,0.079146442,0.107685621,0.100633789,0.091341963,0.098144907,0.08453902,0.092918255,0.086115312,0.104284149,0.09822787,0.104533037,0.115152266
235,0.000497776,0.000248888,-8.29627E-05,0.000995553,0.000580739,0,0.000663702,0.000414814,0.001078515,0.035508048,0.041896178,0.036586563,0.042642842,0.038660631,0.041813215,0.054008736,0.050441339,0.040070998,0.075827933,0.072260536,0.089516783,0.091756777,0.091507889,0.089682709,0.080307921,0.112414496,0.102541932,0.09275233,0.097730094,0.085949386,0.093996771,0.086447163,0.10552859,0.100467864,0.105777478,0.117558186
240,0.000995553,0.000580739,8.29627E-05,0.000746665,0.000663702,-0.000497776,8.29627E-05,0.000248888,0.000414814,0.036835451,0.041896178,0.037748041,0.042974693,0.039324333,0.04197914,0.05566799,0.050524301,0.040817662,0.077653113,0.073090163,0.091424926,0.092503442,0.093167144,0.091424926,0.081967175,0.112331534,0.10370341,0.093830845,0.100633789,0.086115312,0.096651578,0.087940492,0.107519695,0.103122671,0.107021919,0.119549291
